State,Year,Incentive ($),Additional Registration Fee ($/year),dem_margin,num_stations,num_charging_outlets,Electric (EV),Car Sales,EV Sales Market Share,norm_num_stations
Arkansas,2019,0.0,200.0,-27.6,98,290,900,118722.05955206008,0.2526910341110186,0.0008254573780959942
California,2019,2000.0,108.0,29.2,6439,27199,349700,2055648.9691538133,3.70685857086616,0.0031323441388198432
Colorado,2019,5000.0,51.88,13.5,861,2516,19200,239339.7476867275,2.7993678713030357,0.003597396622674498
Connecticut,2019,1125.0,0.0,20.1,422,1048,6900,167283.67603757943,1.1357952222266892,0.0025226609672613833
Delaware,2019,3500.0,0.0,19.0,57,172,1300,53939.13762070518,0.9269706970770497,0.0010567465946678368
Florida,2019,0.0,0.0,-3.4,1562,4562,40300,1467895.6460518679,0.8788090648471193,0.0010641083405358142
Georgia,2019,0.0,213.7,0.2,882,2939,19000,523043.120342485,0.5926853598552527,0.001686285443201074
Hawaii,2019,0.0,50.0,29.5,296,666,8800,81746.2094361824,2.691256285978,0.0036209630029522184
Idaho,2019,0.0,140.0,-30.8,95,216,1600,84361.63456771213,0.5926864771671527,0.0011261043066175902
Illinois,2019,0.0,100.0,17.0,663,1864,19300,573660.5940944472,0.9936188852221484,0.001155735650705762
Indiana,2019,0.0,150.0,-16.1,239,614,5100,269958.2166393486,0.6297270819028707,0.0008853221916163889
Iowa,2019,0.0,130.0,-8.2,141,348,1600,134979.1083196743,0.3704276952369828,0.0010446061005682915
Kansas,2019,0.0,70.0,-14.7,234,904,2300,117731.10676895455,0.5096359122636047,0.0019875800578280584
Kentucky,2019,0.0,120.0,-25.9,133,315,1900,150298.20302268243,0.4657407646413169,0.0008849074528185021
Louisiana,2019,0.0,100.0,-18.6,107,293,1400,243711.52569876143,0.20516058834986034,0.0004390436590687011
Maine,2019,0.0,0.0,9.1,184,433,1300,64887.686840016555,0.7705622196592891,0.002835668968346184
Maryland,2019,3000.0,0.0,33.2,738,2110,13200,302190.0651853592,1.5884043034491377,0.002442171616553049
Massachusetts,2019,2500.0,0.0,33.5,811,2455,14100,343610.41248516535,1.1059036228024832,0.002360231152875826
Michigan,2019,0.0,145.0,2.8,616,1429,6600,607405.9874385343,0.39512287491944836,0.0010141487122932507
Minnesota,2019,0.0,75.0,7.1,380,1051,7700,240806.45640799063,1.1627595213876036,0.0015780307790260334
Mississippi,2019,0.0,150.0,-16.5,81,292,500,120623.85077635339,0.1658046884697924,0.0006715089883026592
Missouri,2019,0.0,105.0,-15.4,452,1895,4900,320575.6903913108,0.4367143367268709,0.0014099634300038975
Montana,2019,0.0,0.0,-16.4,55,137,700,70091.42147965774,0.28534162352242337,0.0007846894646866643
Nebraska,2019,0.0,75.0,-19.2,95,238,1300,86506.23387443305,0.4623944218639949,0.0010981867519269878
Nevada,2019,0.0,0.0,2.4,284,927,7900,153083.71706474523,1.829064549573073,0.0018551940431384027
